population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,294,All causes,3,Rate,2023,93.0729616,102.35289792249237,84.00287497870524
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,294,All causes,1,Number,2023,4436.959522876159,4765.784458965724,4105.431577732563
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,294,All causes,1,Number,2023,2441.456955102474,2659.611982717968,2224.7170489234113
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,294,All causes,3,Rate,2023,261.9742493045456,281.3892710870384,242.39963202334664
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,294,All causes,3,Rate,2023,135.3038071049156,147.39380349570402,123.29223573713016
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,294,All causes,1,Number,2023,4461.751805357466,4803.301792692048,4131.0678204753885
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,294,All causes,1,Number,2023,2900.0962641221145,3150.5390087078526,2650.5883704763846
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,294,All causes,3,Rate,2023,315.8671122158935,340.0469440136212,292.4565327131693
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,294,All causes,3,Rate,2023,185.5037195229867,201.5232087,169.5440278071535
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,294,All causes,1,Number,2023,5511.115829950444,5945.669758664261,5135.667649093028
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,294,All causes,1,Number,2023,3875.0269394229485,4179.020537406674,3573.445196018444
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,294,All causes,3,Rate,2023,417.05338305310283,449.93822737159803,388.6413629070617
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,294,All causes,3,Rate,2023,257.3333602,277.5210118456566,237.3058753115032
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,294,All causes,1,Number,2023,7563.981078191073,8045.8449573787875,7088.255952298288
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,294,All causes,1,Number,2023,5555.779064639357,5982.648797113237,5149.762457
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,294,All causes,3,Rate,2023,604.4203881272375,642.9250260781276,566.4062838795356
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,294,All causes,3,Rate,2023,381.7893802319631,411.12357957733684,353.88819350932175
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,294,All causes,1,Number,2023,10270.663783605958,10814.58249310459,9707.331944053341
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,294,All causes,1,Number,2023,7220.6084346535745,7675.272763370033,6801.9653760838455
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,294,All causes,3,Rate,2023,964.6397965477222,1015.7256508141973,911.7306250916097
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,294,All causes,3,Rate,2023,571.4269791719471,607.4083603,538.2962616604271
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,294,All causes,1,Number,2023,12631.140687617444,13255.788776451782,12001.985418798302
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,294,All causes,1,Number,2023,9194.666335521997,9723.097815249892,8720.306395261645
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,294,All causes,3,Rate,2023,1521.778535418831,1597.0350840780015,1445.9789693136725
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,294,All causes,3,Rate,2023,915.9334291968614,968.5735185335318,868.6797159133541
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,294,All causes,1,Number,2023,14896.562358572044,15601.034980807466,14225.925171542578
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,294,All causes,1,Number,2023,11002.924283664986,11576.06396020056,10467.36473854383
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,294,All causes,3,Rate,2023,2466.208483707198,2582.837831853193,2355.1807794402544
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,294,All causes,3,Rate,2023,1489.7583709115213,1567.3595257325185,1417.2454375406805
1,All Population,1,Deaths,125,Colombia,1,Male,20,75-79 years,294,All causes,1,Number,2023,15735.687865745198,16444.635183451584,15071.218459657206
1,All Population,1,Deaths,125,Colombia,2,Female,20,75-79 years,294,All causes,1,Number,2023,13096.326974685582,13693.935338750067,12522.784202753235
1,All Population,1,Deaths,125,Colombia,1,Male,20,75-79 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,20,75-79 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,20,75-79 years,294,All causes,3,Rate,2023,3886.0457338796386,4061.125572970478,3721.950047510388
1,All Population,1,Deaths,125,Colombia,2,Female,20,75-79 years,294,All causes,3,Rate,2023,2537.4073828609694,2653.193731046061,2426.283732183901
1,All Population,1,Deaths,125,Colombia,1,Male,30,80-84 years,294,All causes,1,Number,2023,16235.59706690604,16989.738122796396,15571.017581436554
1,All Population,1,Deaths,125,Colombia,2,Female,30,80-84 years,294,All causes,1,Number,2023,15949.682850055156,16616.571457632606,15277.273002926355
1,All Population,1,Deaths,125,Colombia,1,Male,30,80-84 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,30,80-84 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,30,80-84 years,294,All causes,3,Rate,2023,6540.833198671099,6844.653922634689,6273.094134699432
1,All Population,1,Deaths,125,Colombia,2,Female,30,80-84 years,294,All causes,3,Rate,2023,4605.206652147407,4797.7596878866925,4411.059449969257
1,All Population,1,Deaths,125,Colombia,1,Male,31,85-89 years,294,All causes,1,Number,2023,13784.100279058206,14404.013728481226,13183.720007119015
1,All Population,1,Deaths,125,Colombia,2,Female,31,85-89 years,294,All causes,1,Number,2023,16860.384017009477,17586.657029703372,16175.584311982808
1,All Population,1,Deaths,125,Colombia,1,Male,31,85-89 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,31,85-89 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,31,85-89 years,294,All causes,3,Rate,2023,10534.528758839817,11008.298967176159,10075.686824078764
1,All Population,1,Deaths,125,Colombia,2,Female,31,85-89 years,294,All causes,3,Rate,2023,8106.723810837775,8455.926694902259,7777.461910943095
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,294,All causes,1,Number,2023,8762.245315486207,9264.427348392943,8310.498834646132
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,294,All causes,1,Number,2023,13398.312440647867,13985.358403710583,12798.77572455248
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,294,All causes,3,Rate,2023,15402.080445756055,16284.804883472132,14608.010502668652
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,294,All causes,3,Rate,2023,13022.075030238919,13592.63618,12439.373877764538
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,294,All causes,1,Number,2023,3906.2773329665397,4221.189729840897,3600.920720139759
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,294,All causes,1,Number,2023,7774.134986,8233.704777161773,7341.068577338752
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,294,All causes,3,Rate,2023,19334.341811514587,20893.018629073827,17822.961890541137
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,294,All causes,3,Rate,2023,17706.874192822608,18753.62016458013,16720.494045816657
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,494,Stroke,1,Number,2023,560.8372895082441,653.2785787350443,457.34798323500945
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,494,Stroke,1,Number,2023,1033.7646899571741,1195.0234881713181,763.9319244277261
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,494,Stroke,2,Percent,2023,0.063989953,0.072655894,0.052682587841420624
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,494,Stroke,2,Percent,2023,0.077140999,0.087836708,0.059222559474498185
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,494,Stroke,3,Rate,2023,985.8273466412813,1148.3185942515481,803.9161397410658
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,494,Stroke,3,Rate,2023,1004.7355900877205,1161.4660872255524,742.4799863386093
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,494,Stroke,1,Number,2023,233.51021011905434,275.03732361551516,193.18033759887027
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,494,Stroke,1,Number,2023,556.2470313131105,672.6204116318062,406.7695071717752
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,494,Stroke,2,Percent,2023,0.059769643,0.06822663,0.048982327
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,494,Stroke,2,Percent,2023,0.071515739,0.085624506,0.053999782
1,All Population,1,Deaths,125,Colombia,1,Male,235,95+ years,494,Stroke,3,Rate,2023,1155.7720648297502,1361.3128747487394,956.1570672105507
1,All Population,1,Deaths,125,Colombia,2,Female,235,95+ years,494,Stroke,3,Rate,2023,1266.9443252150772,1532.0038859875908,926.4846188306617
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,509,Chronic obstructive pulmonary disease,1,Number,2023,4.258863161,5.700770111705619,3.0973420830823732
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,509,Chronic obstructive pulmonary disease,1,Number,2023,2.4517150586445755,3.430996320233684,1.8156163961753593
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.001477625,0.002024778,0.001112604
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.002782096,0.003721538,0.002112995
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.20366870863120046,0.27262404144420266,0.14812207822435453
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.12391178057545103,0.17340549493668084,0.091762809
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,509,Chronic obstructive pulmonary disease,1,Number,2023,7.095917657813641,9.537806374947623,5.212827564
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,509,Chronic obstructive pulmonary disease,1,Number,2023,3.3782571852111243,4.495048682518631,2.5161181202200256
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.001393522,0.001860125,0.001054306
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.002941027,0.003846742,0.002268967
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.3095213593616857,0.41603566118775187,0.2273816511796647
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.1566211258960382,0.2083972732139912,0.11665105149525673
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,509,Chronic obstructive pulmonary disease,1,Number,2023,8.278819261,11.039142148290715,6.273065452421832
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,509,Chronic obstructive pulmonary disease,1,Number,2023,4.877581722891798,6.217949102146215,3.634011054
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.001552363,0.002032951,0.001164569
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.003875264,0.005052836,0.003013509
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.3470976617266826,0.4628269208718174,0.26300445530736466
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.21124095782023716,0.26929031611101656,0.1573837240337269
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,509,Chronic obstructive pulmonary disease,1,Number,2023,10.134183551418861,13.162654496605562,8.093352042242097
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,509,Chronic obstructive pulmonary disease,1,Number,2023,5.898218744,7.735765860381466,4.460382089412531
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.002047369,0.002573223,0.001620337
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.003910908,0.005143577,0.003058138
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.47223218184861876,0.6133527205535292,0.37713361653508476
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.2790087191941235,0.36593185474196455,0.2109934452897311
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,509,Chronic obstructive pulmonary disease,1,Number,2023,14.585152399171747,18.68639295604871,11.257345989895018
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,509,Chronic obstructive pulmonary disease,1,Number,2023,7.957309043,10.280293999789675,6.253577412404917
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.003343831,0.004297142,0.002627346
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.004453649,0.005687943,0.003537616
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.7789832672311504,0.9980277915021712,0.6012473452151169
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.4146089499489716,0.5356461433803675,0.3258374345474754
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,509,Chronic obstructive pulmonary disease,1,Number,2023,22.439902067675146,27.82064700290871,17.84932858
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,509,Chronic obstructive pulmonary disease,1,Number,2023,15.758612431540312,19.600123910536684,12.412630774981677
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.005056777,0.006416526,0.004170325
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.0064555,0.008064521,0.005210379
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,1.3249335425165205,1.642632319762362,1.0538893652173609
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,0.8733310870880227,1.086224919624843,0.687899165
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,509,Chronic obstructive pulmonary disease,1,Number,2023,36.25100373294346,44.61220461459168,29.29435875490968
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,509,Chronic obstructive pulmonary disease,1,Number,2023,31.815172934911526,40.257135485702236,25.453108313213715
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.008122603,0.009696567,0.006754977
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.010975111450212077,0.013321007474052635,0.009061776
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,2.5663686290894128,3.158294960350595,2.073877012
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,2.035047246433278,2.575034650513289,1.6280998406623184
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,509,Chronic obstructive pulmonary disease,1,Number,2023,87.94584569022427,108.94699543103508,72.56630593307729
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,509,Chronic obstructive pulmonary disease,1,Number,2023,57.35716179311494,69.82683914470242,46.84167040194753
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.01596229,0.019475874,0.013351526405803536
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.014805981190872895,0.018014293218250217,0.012486309906401772
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,6.655296967493418,8.244557802805733,5.4914511541537445
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,3.808982854939072,4.637071026563356,3.110668552626018
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,509,Chronic obstructive pulmonary disease,1,Number,2023,177.99919412939636,217.8061347245047,150.0600047452018
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,509,Chronic obstructive pulmonary disease,1,Number,2023,125.5012943819851,151.18356238179385,106.47314532387753
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.023524623,0.027944258,0.020282422660780657
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.022595737077339466,0.026694860774552277,0.019148686685939914
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,14.223507553743714,17.404388922422008,11.990950978444364
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,8.624364079804806,10.38923216914353,7.316762544298483
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,509,Chronic obstructive pulmonary disease,1,Number,2023,405.8093240151457,479.1684974,354.3327605
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,509,Chronic obstructive pulmonary disease,1,Number,2023,252.6306864211057,300.3519839714426,216.98101062761668
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.039512125,0.045577727,0.034827178080145016
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,509,Chronic obstructive pulmonary disease,2,Percent,2023,0.034985662,0.040881917,0.030520672452464787
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,38.114364563270726,45.004394221871515,33.279590216258164
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,509,Chronic obstructive pulmonary disease,3,Rate,2023,19.992773641474162,23.769358003878082,17.171517409192372
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,509,Chronic obstructive pulmonary disease,1,Number,2023,689.8912734841812,803.9880411237938,608.2134158548964
