age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_strk,ylds_rate_strk,dw_adj_strk,prevalence_strk,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
10,female,10_female,0,0,0.06986306178548628,0,1.1117841296739493e-5,0,0,0,1.4720683208923282e-4,0,0,0,4.2915186262745446e-5,0,0,0,2.033294254844656e-4,0,0,0.023048657574089207,9.423080436049918e-5,0,0.011129585750173476,4.560708401414176e-4,0,0,0,0,0.02319133312564315,9.767802621279044e-5,0,0,0,0
11,female,11_female,0,0,0.07231268646533688,0,1.3383273180611482e-5,0,0,0,1.545698207940502e-4,0,0,0,4.681324523236948e-5,0,0,0,2.3024832360217702e-4,0,0,0.02158580557899236,1.0123546224710747e-4,0,0.009890472981267585,5.714928424364681e-4,0,0,0,0,0.022389082143236053,1.042372489831564e-4,0,0,0,0
12,female,12_female,0,0,0.07484820290141422,0,1.611032180135569e-5,0,0,0,1.6230109133672665e-4,0,0,0,5.106537149271053e-5,0,0,0,2.6073102992986685e-4,0,0,0.020233329386592513,1.0848668252892341e-4,0,0.008767039056491586,6.993216436038461e-4,0,0,0,0,0.021629086863686194,1.1117980557201883e-4,0,0,0,0
13,female,13_female,0,0,0.07747262273621539,0,1.9393048698971378e-5,0,0,0,1.704190644316671e-4,0,0,0,5.5703725574774564e-5,0,0,0,2.952493590604647e-4,0,0,0.018981782045501487,1.1613439797216127e-4,0,0.007779180835750345,8.359754121212838e-4,0,0,0,0,0.020891628524070564,1.1855092684156345e-4,0,0,0,0
14,female,14_female,0,0,0.08018906321015426,0,2.3344681905052195e-5,0,0,0,1.7894308216024165e-4,0,0,0,6.076338920500611e-5,0,0,0,3.3433758938881654e-4,0,0,0.017760847975780966,1.2402568973994029e-4,0,0.006893044371255815,9.761663782212522e-4,0,0,0,0,0.020216883986246888,1.2632594865830398e-4,0,0,0,0
15,female,15_female,0,0,0.08300075086416578,0,2.8101521411482676e-5,0,0,0,1.8789345405570066e-4,0,0,0,6.628263064241184e-5,0,0,0,3.7860073272989877e-4,0,0,0.01663370991476662,1.3217362117620392e-4,0,0.006111805131452743,0.0011133511499995235,0,0,0,0,0.019539010865564792,1.3452610205944354e-4,0,0,0,0
16,female,16_female,0,0,0.08591102537213517,0,3.382764043870381e-5,0,0,0,1.9729150549316818e-4,0,0,0,7.230319411670401e-5,0,0,0,4.2872389875647896e-4,0,0,0.015566997091119842,1.4041808700390767e-4,0,0.005422422799974198,0.0012454738841043223,0,0,0,0,0.018925487094011602,1.4317690271503335e-4,0,0,0,0
17,female,17_female,1978597.2304317788,0,0.08892334350770495,0,4.072054466000003e-5,0,0,0,2.0715962849999985e-4,0,0,0,7.887061555660003e-5,0,0,0,4.854828992000001e-4,0,0,0.01455373009563598,1.4887345185670756e-4,0,0.004814940751764493,0.0013666838373379523,0,0,0,0,0.018330515527186297,1.5237702488519087e-4,0,0,0,0
18,female,18_female,0,0,0.09209000966913931,0,4.9360747821594825e-5,0,0,0,2.1738092156484723e-4,0,0,0,8.612325762799792e-5,0,0,0,5.509855731842933e-4,0,0,0.013622762169311527,1.575652698037976e-4,0,0.0042858239568209,0.0014765897132740411,0,0,0,0,0.017774947968107874,1.6194526490921805e-4,0,0,0,0
19,female,19_female,0,0,0.09541993292280744,0,6.0252651434151785e-5,0,0,0,2.2795928859420254e-4,0,0,0,9.413977122308344e-5,0,0,0,6.26724346050076e-4,0,0,0.012730060837924589,1.6633321835744165e-4,0,0.0038238190159861907,0.0015736550645028572,0,0,0,0,0.017258407869767622,1.7187253966553402e-4,0,0,0,0
