sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx,label
female,52,0.16870483764211527,0.0024446669218999998,0.0024416811572827157,1505839.327015848,3676.7795106698813,1504000.937260513,34.051111982967434,1250268.703326389,26.342638292321396,5% mortality reduction
female,53,0.1703001668646525,0.0026336405862269997,0.0026301755973708874,1502162.547505178,3950.9512757326056,1500187.0718673118,33.13323361574549,1244704.9632001142,25.574803524698012,5% mortality reduction
female,54,0.17184149736924725,0.002847519390138522,0.0028434690521839112,1498211.5962294454,4260.118307501486,1496081.5370756947,32.21929109675144,1238992.6455581223,24.811453298691315,5% mortality reduction
female,55,0.17337623965254997,0.003085611497026758,0.003080855890447043,1493951.4779219439,4602.649210797887,1491650.1533165448,31.309741111159006,1233033.4588573726,24.05286579710724,5% mortality reduction
female,56,0.17495356041071763,0.0033463484770942385,0.0033407556932363303,1489348.828711146,4975.5505787316215,1486861.0534217802,30.404954823270277,1226729.4182896095,23.2992971680238,5% mortality reduction
female,57,0.1766244343948312,0.003626999112203639,0.0036204294959878425,1484373.2781324144,5374.068799206759,1481686.243732811,29.505194848788033,1219984.2489829012,22.55096613623725,5% mortality reduction
female,58,0.1783453266715342,0.003925136670220014,0.003917443390296649,1478999.2093332077,5793.895676856344,1476102.2614947795,28.610587679066867,1212846.3214679025,21.80803551224215,5% mortality reduction
female,59,0.18008334733992865,0.004245209903759283,0.004236211737733586,1473205.3136563513,6240.809641802525,1470084.9088354502,27.72114240685522,1205347.0975784485,21.070532851396987,5% mortality reduction
female,60,0.18190892662445335,0.004595191100342394,0.004584649362998627,1466964.5040145488,6725.517878871899,1463601.745075113,26.83694750474864,1197359.5226228223,20.338511108496732,5% mortality reduction
female,61,0.18389540084826747,0.004985296342753397,0.004972890377307415,1460238.986135677,7261.608402723244,1456608.1819343152,25.958249300550467,1188744.6364386382,19.612210473735807,5% mortality reduction
female,62,0.1861195049065347,0.0054285563021334955,0.005413848316781711,1452977.3777329538,7866.199130761456,1449044.278167573,25.0854831032735,1179348.8745273773,18.892083333353796,5% mortality reduction
female,63,0.18858019303493095,0.005938248377281297,0.0059206518285079834,1445111.1786021923,8556.000141988397,1440833.178531198,24.219309696465714,1169120.5795926517,18.178823343192157,5% mortality reduction
female,64,0.1912368524465053,0.0065192509977392175,0.006498046784505163,1436555.1784602038,9334.802758157568,1431887.777081125,23.360579882375568,1158058.0655355074,17.47325868428811,5% mortality reduction
female,65,0.19411089781061924,0.007173652849293465,0.007147983619083975,1427220.3757020463,10201.747866341104,1422119.5017688759,22.510100592542074,1146070.608486529,16.776135339418538,5% mortality reduction
female,66,0.1972252731031669,0.007901768479172276,0.00787063157280643,1417018.6278357052,11152.831551498546,1411442.212059956,21.668561104173367,1133070.1363170932,16.088124125994177,5% mortality reduction
female,67,0.20060466438022187,0.00870136757737018,0.008663620242333692,1405865.7962842067,12179.887370692428,1399775.8525988604,20.836492777883937,1118974.287480727,15.409793377439929,5% mortality reduction
female,68,0.20433644441229243,0.009574392354270463,0.009528703789474124,1393685.9089135143,13280.020201600893,1387045.898812714,20.014220191188002,1103621.8716126718,14.741576289370297,5% mortality reduction
