sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx,label
female,52,0.16870483764211527,0.002573333602,0.002570025417382382,1505839.327015848,3870.04534492471,1503904.3043433856,34.692659562384115,1250188.3728498565,26.768241731537938,With trend (−0.5%/yr)
female,53,0.1703001668646525,0.0027583919824167,0.0027545911148164626,1501969.281670923,4137.311238017989,1499900.626051914,33.780761992030875,1244467.2991548763,26.00484791414287,With trend (−0.5%/yr)
female,54,0.17184149736924725,0.0029674898781283056,0.0029630912320948166,1497831.970432905,4438.212778741044,1495612.8640435345,32.872690107679006,1238604.5100015851,25.245832769534786,With trend (−0.5%/yr)
female,55,0.17337623965254997,0.0031995351155075756,0.0031944220576196614,1493393.757654164,4770.529960161973,1491008.492674083,31.968898415890912,1232503.046924234,24.49147168651842,With trend (−0.5%/yr)
female,56,0.17495356041071763,0.0034525492513064705,0.003446596056343787,1488623.227694002,5130.682945951907,1486057.886221026,31.069745507292847,1226066.7680502324,23.74201021989634,With trend (−0.5%/yr)
female,57,0.1766244343948312,0.003723396170263944,0.0037164729260693585,1483492.5447480502,5513.359878581865,1480735.8648087592,30.175471466274995,1219201.7301987708,22.9976491882068,With trend (−0.5%/yr)
female,58,0.1783453266715342,0.004009310231839675,0.004001283678136458,1477979.1848694682,5913.81398904363,1475022.2778749464,29.286170964234852,1211958.9478795484,22.258526861555573,With trend (−0.5%/yr)
female,59,0.18008334733992865,0.004314566118020728,0.004305271749487916,1472065.3708804245,6337.641454650942,1468896.550153099,28.401815326167963,1204372.7425054556,21.524642224554672,With trend (−0.5%/yr)
female,60,0.18190892662445335,0.004646913814735468,0.004636133615418037,1465727.7294257735,6795.309597441181,1462330.074627053,27.522459629964015,1196319.180380989,20.796023084583172,With trend (−0.5%/yr)
female,61,0.18389540084826747,0.005016202967433715,0.005003642831501565,1458932.4198283323,7299.976744119266,1455282.4314562725,26.648322882280777,1187662.6853761799,20.07288899640529,With trend (−0.5%/yr)
female,62,0.1861195049065347,0.0054348998871189234,0.005420157538548742,1451632.443084213,7868.076529584825,1447698.4048194205,25.779817703747298,1178253.4944604498,19.355675029829086,With trend (−0.5%/yr)
female,63,0.18858019303493095,0.005915461629378844,0.0058979997349233315,1443764.3665546281,8515.321851230949,1439506.7056290125,24.91758501879865,1168044.2532064158,18.64505937410937,With trend (−0.5%/yr)
female,64,0.1912368524465053,0.006461763603653207,0.006440931304501074,1435249.0447033972,9244.340501785373,1430626.8744525046,24.06245436815107,1157038.2939568257,17.941853491182524,With trend (−0.5%/yr)
female,65,0.19411089781061924,0.007074842901181177,0.007049875115893944,1426004.704201612,10053.155079298649,1420978.1266619626,23.21520235740747,1145150.7867263572,17.24678026447383,With trend (−0.5%/yr)
female,66,0.1972252731031669,0.0077539648136122664,0.007723980377918105,1415951.5491223133,10936.78198150349,1410483.1581315615,22.37647867515875,1132300.2320616469,16.560481195334518,With trend (−0.5%/yr)
female,67,0.20060466438022187,0.008495914264263674,0.008459925974594884,1405014.7671408097,11886.320923223919,1399071.6066791979,21.546767474528533,1118411.3165774196,15.883490545866021,With trend (−0.5%/yr)
female,68,0.20433644441229243,0.009301583891470707,0.00925845797671132,1393128.4462175858,12898.221175466655,1386679.3356298525,20.726340745950804,1103330.2106472487,15.216204587351417,With trend (−0.5%/yr)
female,69,0.20842796308197672,0.010184480121660611,0.010132793918506966,1380230.2250421192,13985.588430446285,1373237.4308268959,19.91535545652466,1087016.350291719,14.559018400604376,With trend (−0.5%/yr)
female,70,0.21277994192576596,0.011160513112448797,0.01109846562775707,1366244.6366116728,15163.2191385421,1358663.0270424017,19.114101100876606,1069566.7870516342,13.9124285532836,With trend (−0.5%/yr)
female,71,0.21728469657914976,0.012249573485878637,0.012174852870332042,1351081.4174731306,16449.21747357503,1342856.808736343,18.323007603778148,1051074.5745008213,13.276930519601288,With trend (−0.5%/yr)
female,72,0.22182502983116983,0.013476510354034028,0.013386108743443259,1334632.1999995555,17865.53176169496,1325699.4341187081,17.54267451134102,1031626.1175981608,12.653028700806095,With trend (−0.5%/yr)
female,73,0.22637073231068397,0.014857050990049081,0.014747229554905372,1316766.6682378605,19418.660326751655,1307057.3380744848,16.77390488049522,1011177.8112825105,12.041247547095457,With trend (−0.5%/yr)
female,74,0.2310036558721577,0.01640467693918686,0.01627085300520348,1297348.007911109,21108.958733315212,1286793.5285444513,16.017492128586834,989539.5190980493,11.442061430097622,With trend (−0.5%/yr)
female,75,0.23576983247984692,0.018149478261331342,0.01798576839312971,1276239.0491777938,22954.139952779875,1264761.979201404,15.274151021133576,966569.2592382092,10.855956877797675,With trend (−0.5%/yr)
female,76,0.240719002788874,0.020128132991147293,0.019926914435035803,1253284.9092250138,24974.101148848462,1240797.8586505896,14.544742271156936,942114.2354536494,10.283557018465212,With trend (−0.5%/yr)
female,77,0.2459049265152589,0.022385521577676856,0.02213682498049463,1228310.8080761654,27190.901380032003,1214715.3573861495,13.830300952056884,916010.866691152,9.725643143736809,With trend (−0.5%/yr)
female,78,0.25139634012242923,0.025003964538717224,0.02469395461791013,1201119.9066961333,29660.400466622767,1186289.706462822,13.132071738248028,888060.8159331576,9.183181180130994,With trend (−0.5%/yr)
female,79,0.25717627592207226,0.02804190210586472,0.02765237746539917,1171459.5062295105,32393.640451688556,1155262.6860036664,12.45190550500406,858156.5307055131,8.657611169986488,With trend (−0.5%/yr)
female,80,0.26316786396655506,0.0315052309771075,0.031014112302513608,1139065.865777822,35327.11668119326,1121402.3074372252,11.791803083602185,826285.2575418046,8.150436822434642,With trend (−0.5%/yr)
female,81,0.26928649693323276,0.03537969935200575,0.03476115389565082,1103738.7490966287,38367.23251794104,1084555.1328376583,11.153217272785959,792499.0803848484,7.6626820658370445,With trend (−0.5%/yr)
female,82,0.2754392555729141,0.039622470040080286,0.03884776557048819,1065371.5165786878,41387.30292152434,1044677.8651179257,10.536871667340945,756932.571636343,7.194767194736768,With trend (−0.5%/yr)
female,83,0.2816634359103322,0.04429644476481039,0.04332968447364849,1023984.2136571634,44368.91288376195,1001799.7572152824,9.942541054173683,719629.3955038893,6.746361295335221,With trend (−0.5%/yr)
female,84,0.2880239760367632,0.04950962877871922,0.048304005577793685,979615.3007734015,47319.342952650426,955955.6292970763,9.37021432663402,680617.4880322063,6.31731462918275,With trend (−0.5%/yr)
female,85,0.2944588298643781,0.05524181917785223,0.05374370263549777,932295.9578207511,50105.03672539502,907243.4394580536,8.820428349621567,640097.5978731014,5.907909968192579,With trend (−0.5%/yr)
female,86,0.3009002405800829,0.061442348392855284,0.059592839839206935,882190.9210953561,52572.262268438,855904.7899611371,8.292996540995805,598362.8327481856,5.517879257471522,With trend (−0.5%/yr)
female,87,0.30727465576936597,0.06802259617093956,0.06576063689364064,829618.6588269181,54556.2513833061,802340.5331352651,7.786832418059578,555801.6220063169,5.146292343437163,With trend (−0.5%/yr)
female,88,0.3134426840464493,0.07504917958634379,0.07230213859042134,775062.407443612,56038.669599213645,747043.0726440052,7.299748871457048,512887.88685616164,4.791431624372053,With trend (−0.5%/yr)
female,89,0.3194335772240018,0.08259809364245403,0.07927888346110223,719023.7378443984,57003.399118332185,690522.0382852323,6.829702001387883,469946.11344377144,4.4515507271385335,With trend (−0.5%/yr)
female,90,0.3254337689690468,0.09051962539270239,0.08654359321565952,662020.3387260662,57293.6188952018,633373.5292784653,6.374722310249601,427252.39448014746,4.124985849894409,With trend (−0.5%/yr)
female,91,0.33164456404523346,0.09860102759927526,0.09389585353660579,604726.7198308643,56781.33151491088,576336.054073409,5.931311080219479,385197.3346766831,3.8092779094521627,With trend (−0.5%/yr)
female,92,0.3382828334896003,0.10656226014711455,0.10108092041519545,547945.3883159534,55386.82418823826,520251.9762218343,5.49413555430507,344259.66357694805,3.501032842572867,With trend (−0.5%/yr)
female,93,0.3454386630151333,0.11395954968990255,0.10770595127661098,492558.5641277152,53051.48870881715,466032.8197733066,5.055712040967888,305047.06558964297,3.1957928487979683,With trend (−0.5%/yr)
female,94,0.3529935539380757,0.12073832086586042,0.11373415346909654,439507.075418898,49986.96516644674,414513.59283567464,4.60561742229008,268192.96654496936,2.8874804121283937,With trend (−0.5%/yr)
female,95,0.36085838673220416,0.12723998216283722,0.11947766241514557,389520.11025245127,46538.95223665266,366250.63413412496,4.132489718926475,234086.02116083787,2.5695081675507327,With trend (−0.5%/yr)
