sex,age,inc_num_diff_ishd,inc_num_diff_copd,inc_num_diff_dmt2,mx_num_diff_ishd,mx_num_diff_copd,mx_num_diff_dmt2,incidence_disease_sc_ishd,incidence_disease_sc_copd,incidence_disease_sc_dmt2,incidence_disease_bl_ishd,incidence_disease_bl_copd,incidence_disease_bl_dmt2,mx_sc_ishd,mx_sc_copd,mx_sc_dmt2,mx_bl_ishd,mx_bl_copd,mx_bl_dmt2,px_sc_ishd,px_sc_copd,px_sc_dmt2,px_bl_ishd,px_bl_copd,px_bl_dmt2,Lx_sc,ex_sc,Lwx_sc,ewx_sc,Lx_bl,ex_bl,Lwx_bl,ewx_bl,Lx_diff,Lwx_diff,ex_diff,ewx_diff
female,52,-43.64798646984286,0,-302.63027267213965,0,0,0,0.0011923255916949226,0.00201647804835501,0.0052262931006009546,0.00122134870596076,0.00201647804835501,0.00542752284094954,0,0,0,0,0,0,0,0,0,0,0,0,1503904.3043433856,33.960809048089075,1250188.3728498565,26.247792560694016,1503904.3043433856,33.919641462792846,1250188.3728498565,26.219875522330597,0,0,0.04116758529622899,0.027917038363419522
female,53,-47.509510883993016,0.0011942463729610608,-306.3270648392263,-0.7212285700954091,3.2052674860949537e-6,-0.3656008618272253,0.0013044235666009381,0.00220512677916872,0.005361198681132838,0.00133617532508722,0.00220512677916872,0.00556762273692058,1.9766312918320585e-5,5.906489921006025e-6,6.3478865047240065e-6,2.024717430065427e-5,5.906489921006025e-6,6.591640544592498e-6,0.0011821651442188133,0.0020114542352326842,0.005209563390340738,0.0012109235999633098,0.0020114542352326842,0.005409605689005708,1499890.7878687424,33.04702575696205,1244459.1364159405,25.483057729261258,1499890.245199995,33.005752097311444,1244458.6861637714,25.455068758531663,0.5426687472499907,0.45025216904468834,0.041273659650606476,0.027988970729595053
female,54,-51.6528093199895,0.005379311714477808,-309.56443196841974,-1.5753601638679413,2.7595745493158574e-5,-0.7542104234810196,0.001426021560977352,0.00240429053139716,0.005493517213781745,0.00146073320937111,0.00240429053139716,0.00570503597502433,4.332904068537067e-5,1.228214489298978e-5,1.3169993548171583e-5,4.438245692018052e-5,1.228214489298978e-5,1.367430970237695e-5,0.0024535884981450504,0.004200622521928136,0.010519070611177824,0.002513238467847275,0.004200622521928136,0.010921871999055996,1495572.0551050836,32.13735588922661,1238570.7137322237,24.722931519972995,1495569.8082869803,32.09599129933023,1238568.8530107075,24.69488306430656,2.246818103361875,1.8607215161900967,0.04136458989638214,0.02804845566643621
female,55,-56.13818469298667,0.013710878001347737,-312.4253148853586,-2.580106121624439,1.019333069507411e-4,-1.1737215191922417,0.001559156197564521,0.00261548929084874,0.005624804142451169,0.00159710855621169,0.00261548929084874,0.0058413778889498,7.12392706141301e-5,1.9316939853978182e-5,2.061915859006708e-5,7.297008397332772e-5,1.9316939853978182e-5,2.1406484823102737e-5,0.0038193917055605276,0.006576260362004217,0.015923594461512428,0.003912182716874004,0.006576260362004217,0.016531616673565844,1490912.4445984443,31.232278178479405,1232423.6513027751,23.967707427996793,1490907.16771154,31.190838847256682,1232419.2893026795,23.93961275440658,5.276886904379353,4.362000095658004,0.041439331222722586,0.028094673590214114
female,56,-60.93986494057299,0.02764959199248551,-314.6332441365448,-3.752734921867983,2.6739553776167213e-4,-1.6327108429407033,0.0017035562319237185,0.00284118473330676,0.005750141239170643,0.00174502351864623,0.00284118473330676,0.00597154088252263,1.0405494161743178e-4,2.7225357312164812e-5,2.8865671000659647e-5,1.06581245749288e-4,2.7225357312164812e-5,2.996468739318302e-5,0.005286077354790887,0.009148234896266122,0.021419614957518866,0.005414407766164533,0.009148234896266122,0.022235120325371845,1485878.7858746725,30.33218163209841,1225919.0019471443,23.21765350244875,1485868.964312564,30.29068512644074,1225910.8987022955,23.189526934809052,9.821562108350918,8.103244848782197,0.0414965056576726,0.028126567639699118
female,57,-66.06456226073442,0.04901809584953298,-315.94070620921957,-5.112178824415395,5.843840117663035e-4,-2.140332350844126,0.001859902435954018,0.00308238029967447,0.005864757316194312,0.001905175439652,0.00308238029967447,0.00609057006133284,1.424023639740019e-4,3.6309187268066255e-5,3.8096386285998843e-5,1.4585709316337545e-4,3.6309187268066255e-5,3.9542554869633776e-5,0.006859242522536379,0.011928395025702128,0.026998674646128783,0.0070256362840100395,0.011928395025702128,0.028023543061312002,1480442.0446098347,29.43734141987643,1218959.8058262952,22.472996177217556,1480425.9499501705,29.39580701884823,1218946.553876791,22.44485332732257,16.09465966420248,13.25194950425066,0.04153440102819772,0.028142849894987165
female,58,-71.46752408841076,0.08005688774574082,-315.95099616090556,-6.673786953894194,0.0011415166421784306,-2.7053667979434834,0.0020274839096821873,0.00333979254389614,0.0059606566350136805,0.002076836114812,0.00333979254389614,0.00619016182423335,1.8683386246585835e-4,4.691055537122009e-5,4.849874668665839e-5,1.9136291653971393e-4,4.691055537122009e-5,5.0334249184005694e-5,0.008544433320055191,0.014928988382485946,0.03264765092551694,0.008751537445686377,0.014928988382485946,0.033883212883040574,1474578.0135474014,28.54788992377945,1211593.916018628,21.73390080175696,1474553.6796499845,28.50633900681204,1211573.9219580952,21.705758833610737,24.333897416945547,19.994060532888398,0.041550916967409535,0.028141968146222496
female,59,-77.14396980514857,0.1236159462841897,-314.49230496247947,-8.452371974621997,0.0020676599359177317,-3.338262858509097,0.0022067624350498014,0.00361799669324258,0.006033488410565205,0.00226047856657975,0.00361799669324258,0.00626579786640392,2.3791539376435527e-4,5.941724110710326e-5,6.0298295997122176e-5,2.4367788916242208e-4,5.941724110710326e-5,6.257339462554767e-5,0.010345862582540917,0.018162304223749835,0.038345806380025146,0.010596413661535168,0.018162304223749835,0.039792572980944525,1468261.7745276587,27.66383651416372,1203852.2793994544,21.000393139540897,1468226.9755383856,27.62229281607647,1203823.7471286536,20.97227092940177,34.79898927314207,28.532270800787956,0.041543698087249226,0.02812221013912719
female,60,-83.09628494122626,0.1831340088183424,-311.1690729917118,-10.47091436412694,0.0035489833974935436,-4.047590131724661,0.0023984938705195824,0.00391809704755909,0.0060741681359221525,0.00245687705222337,0.00391809704755909,0.00630804389705861,2.9647892816890955e-4,7.428598848927107e-5,7.369675070246851e-5,3.036535498587698e-4,7.428598848927107e-5,7.646880324561149e-5,0.012267542828888419,0.02164436125064667,0.044068475154102005,0.012564361000724845,0.02164436125064667,0.045726013076225064,1461459.8154878477,26.785274284683,1195607.2291476817,20.272527419982087,1461412.0408876888,26.743763836113803,1195568.1451737576,20.24444549864389,47.7746001589112,39.08397392416373,0.041510448569194835,0.028081921338195315
female,61,-89.33173171652697,0.2628790827875491,-305.91698617419934,-12.74039844814331,0.005858487482100827,-4.83966059360867,0.0026036936019998846,0.00424332026604821,0.006079435006460308,0.00266707167377024,0.00424332026604821,0.00631351355970399,3.630635461632566e-4,9.21648983143014e-5,8.886530902772535e-5,3.718413516577743e-4,9.21648983143014e-5,9.21975659054261e-5,0.014313280865281122,0.025391350774143662,0.04978273440819109,0.014659263710647468,0.025391350774143662,0.05164938838466052,1454125.9379014936,25.912462570635387,1186718.8656672356,19.550551083185674,1454062.3726224205,25.87101356530439,1186666.9897506377,19.522531531925303,63.56527907308191,51.87591659789905,0.04144900533099616,0.028019551260371145
