sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx,label
female,52,0.16870483764211527,0.00249700300121681,0.002493888082416018,1505839.327015848,3755.39475167818,1503961.6296400088,33.87030238380577,1250236.02709162,26.216485481025654,PA scenario (+2 mMETs)
female,53,0.1703001668646525,0.0026900222639835844,0.002686407396177981,1502083.9322641697,4035.209385314571,1500066.3275715124,32.95373224797133,1244604.7816780375,25.449695589749354,PA scenario (+2 mMETs)
female,54,0.17184149736924725,0.0029084798421835064,0.0029042543123029008,1498048.7228788552,4350.7144634607685,1495873.3656471248,32.04115103679673,1238820.2466195475,24.687430708947318,PA scenario (+2 mMETs)
female,55,0.17337623965254997,0.003151669088186762,0.0031467077926552456,1493698.0084153945,4700.231162954342,1491347.8928339174,31.133021375537794,1232783.6031606186,23.929973526575687,PA scenario (+2 mMETs)
female,56,0.17495356041071763,0.0034179879948338476,0.0034121533233727463,1488997.77725244,5080.688714146546,1486457.4328953668,30.229718821218633,1226396.412611347,23.177583420305968,PA scenario (+2 mMETs)
female,57,0.1766244343948312,0.0037046468733435327,0.003697793135287397,1483917.0885382935,5487.218423332562,1481173.4793266272,29.33150850209528,1219562.0512999375,22.430480812842468,PA scenario (+2 mMETs)
female,58,0.1783453266715342,0.0040091670394542395,0.004001141058694091,1478429.870114961,5915.406455716742,1475472.1668871026,28.438517152165954,1212328.6012888658,21.68882838420597,PA scenario (+2 mMETs)
female,59,0.18008334733992865,0.004336092485860479,0.004326705209771187,1472514.4636592441,6371.136001377877,1469328.8956585552,27.55075216839417,1204727.229785082,20.95265200522892,PA scenario (+2 mMETs)
female,60,0.18190892662445335,0.004693566172933677,0.004682568603890824,1466143.3276578663,6865.316714894742,1462710.6693004188,26.668301399600455,1196630.541485844,20.222003770460834,PA scenario (+2 mMETs)
female,61,0.18389540084826747,0.005092022892073812,0.005079080520443147,1459278.0109429716,7411.790519291468,1455572.1156833258,25.791412743464935,1187899.0980061798,19.497124704882168,PA scenario (+2 mMETs)
