sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx,label
female,52,0.16870483764211527,0.002573333602,0.002570025417382382,1505839.327015848,3870.04534492471,1503904.3043433856,33.61242299142913,1250188.3728498565,26.03632077601442,Reference (no trend)
female,53,0.1703001668646525,0.00277225324866,0.0027684141031366627,1501969.281670923,4158.072941855826,1499890.245199995,32.69774203225172,1244458.6861637714,25.27104105634336,Reference (no trend)
female,54,0.17184149736924725,0.00299738883172476,0.00299290114671924,1497811.2087290674,4482.800884174157,1495569.8082869803,31.787126167684086,1238568.8530107075,24.510344482906937,Reference (no trend)
female,55,0.17337623965254997,0.00324801210213343,0.0032427430170534066,1493328.4078448932,4842.480266706509,1490907.16771154,30.881046537852477,1232419.2893026795,23.754520209316507,Reference (no trend)
female,56,0.17495356041071763,0.00352247208115183,0.003516275454320872,1488485.9275781866,5233.926531245213,1485868.964312564,29.97988497200604,1225910.8987022955,23.00383222951007,Reference (no trend)
female,57,0.1766244343948312,0.00381789380231962,0.003810614912066468,1483252.0010469414,5652.102193541903,1480425.9499501705,29.083910149106174,1218946.553876791,22.25850336422242,Reference (no trend)
female,58,0.1783453266715342,0.00413172281075791,0.004123198987464716,1477599.8988533996,6092.438406830303,1474553.6796499845,28.193249071895178,1211573.9219580952,21.51869604626363,Reference (no trend)
female,59,0.18008334733992865,0.00446864200395714,0.004458672478885206,1471507.4604465694,6560.96981636738,1468226.9755383856,27.30790660424933,1203823.7471286536,20.78443365158095,Reference (no trend)
female,60,0.18190892662445335,0.00483704326351831,0.0048253636090047625,1464946.490630202,7068.899485026213,1461412.0408876888,26.427969601222554,1195568.1451737576,20.055766965037925,Reference (no trend)
female,61,0.18389540084826747,0.00524768036079305,0.0052339353398778155,1457877.5911451757,7630.437045510676,1454062.3726224205,25.55368811975599,1186666.9897506377,19.33293814127157,Reference (no trend)
female,62,0.1861195049065347,0.00571426979171947,0.0056979744056120385,1450247.1540996651,8263.47116587159,1446115.4185167295,24.68550743718422,1176965.1327846895,18.61640632845513,Reference (no trend)
female,63,0.18858019303493095,0.00625078776555926,0.006231292233675467,1441983.6829337936,8985.421724552096,1437490.9720715177,23.824105568150944,1166408.6470723005,17.906877498145665,Reference (no trend)
